datetime,price
2025-08-01T00:00:09+00:00,0.385
2025-08-02T00:00:09+00:00,0.34
2025-08-03T00:00:08+00:00,0.325
2025-08-04T00:00:07+00:00,0.335
2025-08-05T00:00:08+00:00,0.32
2025-08-06T00:00:09+00:00,0.335
2025-08-07T00:00:02+00:00,0.32
2025-08-08T00:00:08+00:00,0.32
2025-08-09T00:00:15+00:00,0.315
2025-08-10T00:00:04+00:00,0.315
2025-08-11T00:00:11+00:00,0.315
2025-08-12T00:00:06+00:00,0.315
2025-08-13T00:00:08+00:00,0.305
2025-08-14T00:00:06+00:00,0.3
2025-08-15T00:00:08+00:00,0.305
2025-08-16T00:00:05+00:00,0.31
2025-08-17T00:00:14+00:00,0.31
2025-08-18T00:00:03+00:00,0.31
2025-08-19T00:00:11+00:00,0.315
2025-08-20T00:00:08+00:00,0.315
2025-08-21T00:00:04+00:00,0.325
2025-08-22T00:00:05+00:00,0.32
2025-08-23T00:00:11+00:00,0.23
2025-08-24T00:00:09+00:00,0.29
2025-08-25T00:00:05+00:00,0.31
2025-08-26T00:00:10+00:00,0.33
2025-08-27T00:00:06+00:00,0.32
2025-08-28T00:00:06+00:00,0.32
2025-08-29T00:00:17+00:00,0.315
2025-08-30T00:00:07+00:00,0.315
2025-08-31T00:00:14+00:00,0.32
2025-09-01T00:00:06+00:00,0.315
2025-09-02T00:00:11+00:00,0.32
2025-09-03T00:00:08+00:00,0.325
2025-09-04T00:00:05+00:00,0.325
2025-09-05T00:00:09+00:00,0.345
2025-09-06T00:00:13+00:00,0.3
2025-09-07T00:00:10+00:00,0.32
2025-09-08T00:00:17+00:00,0.305
2025-09-09T00:00:09+00:00,0.315
2025-09-10T00:00:13+00:00,0.32
2025-09-11T00:00:09+00:00,0.32
2025-09-12T00:00:29+00:00,0.32
2025-09-13T00:00:09+00:00,0.32
2025-09-14T00:00:03+00:00,0.32
2025-09-15T00:00:03+00:00,0.305
2025-09-16T00:00:02+00:00,0.31
2025-09-17T00:00:10+00:00,0.29
2025-09-18T00:00:12+00:00,0.255
2025-09-19T00:00:10+00:00,0.215
2025-09-20T00:00:07+00:00,0.195
2025-09-21T00:00:05+00:00,0.195
2025-09-22T00:00:15+00:00,0.2
2025-09-23T00:00:04+00:00,0.205
2025-09-24T00:00:06+00:00,0.21
2025-09-25T00:00:08+00:00,0.215
2025-09-26T00:00:13+00:00,0.26
2025-09-27T00:00:07+00:00,0.285
2025-09-28T00:00:05+00:00,0.275
2025-09-29T00:00:09+00:00,0.275
2025-09-30T00:00:07+00:00,0.275
2025-10-01T00:00:06+00:00,0.25
2025-10-02T00:00:09+00:00,0.235
2025-10-03T00:00:02+00:00,0.205
2025-10-04T00:00:07+00:00,0.21
2025-10-05T00:00:07+00:00,0.21
2025-10-06T00:00:02+00:00,0.21
2025-10-07T00:00:11+00:00,0.205
2025-10-08T00:00:13+00:00,0.22
2025-10-09T00:00:11+00:00,0.22
2025-10-10T00:00:14+00:00,0.22
2025-10-11T00:00:03+00:00,0.21
2025-10-12T00:00:04+00:00,0.205
2025-10-13T00:00:18+00:00,0.205
2025-10-14T00:00:18+00:00,0.195
2025-10-15T00:00:13+00:00,0.17
2025-10-16T00:00:15+00:00,0.135
2025-10-17T00:00:04+00:00,0.105
2025-10-18T00:00:14+00:00,0.09
2025-10-19T00:00:14+00:00,0.085
2025-10-20T00:00:18+00:00,0.085
2025-10-21T00:00:08+00:00,0.1
2025-10-22T00:00:23+00:00,0.09
2025-10-23T00:00:12+00:00,0.095
2025-10-24T00:00:19+00:00,0.12
2025-10-25T00:00:18+00:00,0.105
2025-10-26T00:00:21+00:00,0.095
2025-10-27T00:00:18+00:00,0.085
2025-10-28T00:00:23+00:00,0.06
2025-10-29T00:00:22+00:00,0.115
2025-10-30T00:00:22+00:00,0.295
2025-10-31T00:00:14+00:00,0.255
2025-11-01T00:00:22+00:00,0.325
2025-11-02T00:00:17+00:00,0.305
2025-11-03T00:00:20+00:00,0.295
2025-11-04T00:00:20+00:00,0.305
2025-11-05T00:00:22+00:00,0.275
2025-11-06T00:00:14+00:00,0.325
2025-11-07T00:00:22+00:00,0.235
2025-11-08T00:00:15+00:00,0.265
2025-11-09T00:00:35+00:00,0.265
2025-11-10T00:00:15+00:00,0.245
2025-11-11T00:00:23+00:00,0.285
2025-11-12T00:00:20+00:00,0.255
2025-11-13T00:00:22+00:00,0.33
2025-11-14T00:00:20+00:00,0.445
2025-11-15T00:00:25+00:00,0.51
2025-11-16T00:00:17+00:00,0.505
2025-11-17T00:00:22+00:00,0.515
2025-11-18T00:00:17+00:00,0.535
2025-11-19T00:00:26+00:00,0.46
2025-11-20T00:00:16+00:00,0.665
2025-11-21T00:00:28+00:00,0.645
2025-11-22T00:00:18+00:00,0.325
2025-11-23T00:00:19+00:00,0.315
2025-11-24T00:00:16+00:00,0.285
2025-11-25T00:00:23+00:00,0.175
2025-11-26T00:00:18+00:00,0.145
2025-11-27T00:00:24+00:00,0.145
2025-11-28T00:00:22+00:00,0.135
2025-11-29T00:00:30+00:00,0.115
2025-11-30T00:00:22+00:00,0.115
2025-12-01T00:00:26+00:00,0.105
2025-12-02T00:00:17+00:00,0.105
2025-12-03T00:00:26+00:00,0.075
2025-12-04T00:00:17+00:00,0.055
2025-12-05T00:00:19+00:00,0.075
2025-12-06T00:00:20+00:00,0.065
2025-12-07T00:00:33+00:00,0.075
2025-12-08T00:00:32+00:00,0.065
2025-12-09T00:00:30+00:00,0.055
2025-12-10T00:00:16+00:00,0.028
